id,name,short_name,year,indicator,numerator,denominator
id_1.5,Показатель первичной заболеваемости туберкулезом населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6,2024,1.62,1.0,61716.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2016,22.65,8.0,35325.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2017,16.36,6.0,36680.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2018,21.06,8.0,37978.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2019,0.0,0.0,37950.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2020,0.0,0.0,37333.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2021,5.49,2.0,36411.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2022,0.0,0.0,35016.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2023,6.06,2.0,32984.0
id_1.5.1,Показатель первичной заболеваемости туберкулезом мужского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 муж,2024,0.0,0.0,31704.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2016,23.61,8.0,33883.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2017,11.34,4.0,35265.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2018,11.04,4.0,36245.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2019,5.57,2.0,35883.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2020,2.84,1.0,35251.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2021,5.83,2.0,34311.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2022,0.0,0.0,32874.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2023,3.22,1.0,31097.0
id_1.5.2,Показатель первичной заболеваемости туберкулезом женского населения 5-6 лет (на 100 тыс. населения),ПЗ туб 5-6 жен,2024,3.33,1.0,30012.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2016,17.43,41.0,235186.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2017,7.43,18.0,242241.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2018,7.62,19.0,249204.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2019,7.38,19.0,257439.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2020,6.01,16.0,266302.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2021,6.28,17.0,270895.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2022,5.07,14.0,275874.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2023,3.91,11.0,281069.0
id_1.6,Показатель первичной заболеваемости туберкулезом населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14,2024,3.55,10.0,281377.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2016,17.42,21.0,120584.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2017,2.42,3.0,124173.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2018,7.05,9.0,127607.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2019,5.31,7.0,131713.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2020,8.08,11.0,136219.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2021,7.21,10.0,138610.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2022,5.66,8.0,141246.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2023,2.77,4.0,144157.0
id_1.6.1,Показатель первичной заболеваемости туберкулезом мужского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 муж,2024,0.69,1.0,144504.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2016,17.45,20.0,114603.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2017,12.7,15.0,118068.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2018,8.22,10.0,121597.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2019,9.54,12.0,125727.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2020,3.84,5.0,130083.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2021,5.29,7.0,132286.0
