payer_id;recency;frequency;monetary;R_Score;F_Score;M_Score;RFM_segment;Segment_Name
PID_0189e94af833;7;26;13000.0;3;3;3;333;VIP / Супер-ядро
PID_018bd61325b2;0;4;2000.0;3;2;2;322;Потенциальное ядро
PID_01989cff969e;0;31;15500.0;3;3;3;333;VIP / Супер-ядро
PID_019c15176678;53;71;14200.0;1;3;3;133;Потерянные VIP
PID_019c8112650c;9;10;5000.0;3;3;3;333;VIP / Супер-ядро
PID_019de8e96844;55;1;200.0;1;1;1;111;Ушедшие новички
PID_019effe72efb;9;1;500.0;3;1;1;311;Новые доноры (Малый чек)
PID_019fbc3f8a6d;26;6;2400.0;2;2;3;223;Требуют внимания
PID_019ffee7cd7d;0;59;5900.0;3;3;3;333;VIP / Супер-ядро
PID_01a884e6b8e2;54;4;400.0;1;2;1;121;Ушедшие экономные
PID_01aad2322dfd;16;8;1600.0;3;2;2;322;Потенциальное ядро
PID_01ab750d212e;55;7;5500.0;1;2;3;123;Потерянные VIP
PID_01b036933520;42;1;500.0;2;1;1;211;Остывающие новички
PID_01b5f7bd99ad;1;16;4800.0;3;3;3;333;VIP / Супер-ядро
PID_01bac591d0e9;16;2;200.0;3;1;1;311;Новые доноры (Малый чек)
PID_01bd3192ec77;52;4;400.0;1;2;1;121;Ушедшие экономные
PID_01c0df6e8592;50;5;500.0;2;2;1;221;Требуют внимания
PID_01cc41aa022d;65;2;200.0;1;1;1;111;Ушедшие новички
PID_01d344a0a07f;52;14;1400.0;1;3;2;132;Потерянные VIP
PID_01d5e282e2f2;31;3;600.0;2;2;2;222;Требуют внимания
PID_01d86d239915;40;1;500.0;2;1;1;211;Остывающие новички
PID_01e09df6a2f8;23;7;7000.0;2;2;3;223;Требуют внимания
PID_01e1b63ae012;62;1;200.0;1;1;1;111;Ушедшие новички
PID_01eb390f27cf;73;1;200.0;1;1;1;111;Ушедшие новички
PID_01ed1095e4a0;0;1;500.0;3;1;1;311;Новые доноры (Малый чек)
PID_01efdd03428d;50;11;1100.0;2;3;2;232;Засыпающее ядро
PID_01f0a571e566;39;2;400.0;2;1;1;211;Остывающие новички
PID_01f3810ba2ed;38;3;1500.0;2;2;2;222;Требуют внимания
PID_01fee913af32;52;2;1000.0;1;1;2;112;Ушедшие новички
PID_01ffc52873d4;83;2;100.0;1;1;1;111;Ушедшие новички
PID_020036b23cd6;6;1;300.0;3;1;1;311;Новые доноры (Малый чек)
PID_0201db34a2e0;8;20;10000.0;3;3;3;333;VIP / Супер-ядро
PID_0205163b8279;66;12;2400.0;1;3;3;133;Потерянные VIP
PID_02069e8d14ff;25;1;200.0;2;1;1;211;Остывающие новички
PID_0210efce5da3;2;11;4400.0;3;3;3;333;VIP / Супер-ядро
PID_02132d3102c2;25;16;5100.0;2;3;3;233;Засыпающие VIP
PID_02169b9bbc6d;70;4;400.0;1;2;1;121;Ушедшие экономные
PID_02175322963f;58;1;100.0;1;1;1;111;Ушедшие новички
PID_0218284e9544;59;2;200.0;1;1;1;111;Ушедшие новички
PID_021b42fbf901;9;3;300.0;3;2;1;321;Потенциальное ядро
PID_022072459faa;49;7;1000.0;2;2;2;222;Требуют внимания
PID_022986aa499c;38;1;500.0;2;1;1;211;Остывающие новички
PID_022b23ad2c5b;10;15;4500.0;3;3;3;333;VIP / Супер-ядро
PID_02324549e9ef;11;1;1000.0;3;1;2;312;Перспективные новички
PID_02340315a511;7;17;1700.0;3;3;2;332;Лояльное ядро
PID_02340d69adc7;11;37;14300.0;3;3;3;333;VIP / Супер-ядро
PID_02349e586605;56;3;1500.0;1;2;2;122;Потерянные VIP
PID_0234ca651760;17;8;1600.0;3;2;2;322;Потенциальное ядро
PID_023505d79aba;16;21;2100.0;3;3;3;333;VIP / Супер-ядро
PID_0237291a8dc6;20;22;2200.0;2;3;3;233;Засыпающие VIP
PID_023887a465cb;1;43;4800.0;3;3;3;333;VIP / Супер-ядро
PID_023caea51e3c;26;3;300.0;2;2;1;221;Требуют внимания
PID_023fef3afed4;0;41;8200.0;3;3;3;333;VIP / Супер-ядро
PID_023ff66c63d4;63;1;100.0;1;1;1;111;Ушедшие новички
PID_024432bfcbb3;5;48;11200.0;3;3;3;333;VIP / Супер-ядро
PID_0248c8e30411;60;1;1000.0;1;1;2;112;Ушедшие новички
PID_0249534ab076;78;7;700.0;1;2;2;122;Потерянные VIP
PID_024b8d6eb611;3;116;11600.0;3;3;3;333;VIP / Супер-ядро
PID_024f470d5325;73;1;100.0;1;1;1;111;Ушедшие новички
PID_0252715ecddd;18;2;200.0;2;1;1;211;Остывающие новички
PID_0252ed789aca;25;9;5000.0;2;2;3;223;Требуют внимания
PID_0253488006a3;28;3;300.0;2;2;1;221;Требуют внимания
PID_0255c397ece7;35;33;16500.0;2;3;3;233;Засыпающие VIP
PID_02604b50d4f8;17;2;1000.0;3;1;2;312;Перспективные новички
PID_026a42facba2;54;2;400.0;1;1;1;111;Ушедшие новички
PID_026b4981ee96;33;1;500.0;2;1;1;211;Остывающие новички
PID_026e322adc4f;51;2;400.0;2;1;1;211;Остывающие новички
PID_0270af9bbb7c;0;26;5200.0;3;3;3;333;VIP / Супер-ядро
PID_027115b50cdb;0;14;9800.0;3;3;3;333;VIP / Супер-ядро
PID_02731040909c;48;21;10500.0;2;3;3;233;Засыпающие VIP
PID_0275b23dbccc;55;3;600.0;1;2;2;122;Потерянные VIP
PID_0278c5bb4138;52;32;3200.0;1;3;3;133;Потерянные VIP
PID_027e1a1699b6;31;26;26000.0;2;3;3;233;Засыпающие VIP
PID_027fc56d4a2c;57;2;200.0;1;1;1;111;Ушедшие новички
PID_0281c3c456f0;18;6;1200.0;2;2;2;222;Требуют внимания
PID_0282f12f9419;16;1;500.0;3;1;1;311;Новые доноры (Малый чек)
PID_0283b9eacefe;60;2;200.0;1;1;1;111;Ушедшие новички
PID_028498f79e7c;0;31;5800.0;3;3;3;333;VIP / Супер-ядро
PID_0286e8cf089c;1;19;1900.0;3;3;2;332;Лояльное ядро
PID_028a047d4a0b;58;3;1500.0;1;2;2;122;Потерянные VIP
PID_028b9e9307cb;63;4;800.0;1;2;2;122;Потерянные VIP
PID_028c3e0792db;33;1;100.0;2;1;1;211;Остывающие новички
PID_028e765458a8;82;4;400.0;1;2;1;121;Ушедшие экономные
PID_029bc5c554ae;47;3;300.0;2;2;1;221;Требуют внимания
PID_029cf320a5a0;1;27;2700.0;3;3;3;333;VIP / Супер-ядро
PID_02a1663a5068;66;2;400.0;1;1;1;111;Ушедшие новички
PID_02a220550a6b;68;3;300.0;1;2;1;121;Ушедшие экономные
PID_02a66b7f6431;5;27;8100.0;3;3;3;333;VIP / Супер-ядро
PID_02abcce1527d;56;3;600.0;1;2;2;122;Потерянные VIP
PID_02ae7655eab7;62;9;900.0;1;2;2;122;Потерянные VIP
PID_02b0f6ff62d3;36;3;600.0;2;2;2;222;Требуют внимания
PID_02b381624d44;23;2;200.0;2;1;1;211;Остывающие новички
PID_02b7d1ecb8d6;50;9;900.0;2;2;2;222;Требуют внимания
PID_02b9e41ac81c;52;1;100.0;1;1;1;111;Ушедшие новички
PID_02bc246c6ab3;0;52;2600.0;3;3;3;333;VIP / Супер-ядро
PID_02bd65510b4b;26;10;5000.0;2;3;3;233;Засыпающие VIP
PID_02bec057ba0e;21;1;500.0;2;1;1;211;Остывающие новички
PID_02c67fc29e16;13;12;2400.0;3;3;3;333;VIP / Супер-ядро
PID_02c782283178;15;3;300.0;3;2;1;321;Потенциальное ядро
PID_02c8c17bb557;1;39;19500.0;3;3;3;333;VIP / Супер-ядро
PID_02ca0f561c8f;62;1;1000.0;1;1;2;112;Ушедшие новички
PID_02ca19524761;17;1;500.0;3;1;1;311;Новые доноры (Малый чек)
PID_02d0f348db36;0;64;3200.0;3;3;3;333;VIP / Супер-ядро
PID_02d9fd3ab8b9;23;5;2200.0;2;2;3;223;Требуют внимания
PID_02db186ec0d4;0;2;2000.0;3;1;2;312;Перспективные новички
PID_02df4f0ee09c;60;5;1000.0;1;2;2;122;Потерянные VIP
PID_02e23cf28318;1;32;3200.0;3;3;3;333;VIP / Супер-ядро
PID_02e481adbd8f;60;2;400.0;1;1;1;111;Ушедшие новички
PID_02e9b56b3538;38;1;500.0;2;1;1;211;Остывающие новички
PID_02eb5507ca1e;1;14;700.0;3;3;2;332;Лояльное ядро
PID_02f29375661b;2;22;22000.0;3;3;3;333;VIP / Супер-ядро
PID_02f5d9508863;57;1;1000.0;1;1;2;112;Ушедшие новички
PID_02f8bb77fb8b;11;13;5100.0;3;3;3;333;VIP / Супер-ядро
PID_02fa0cacbf5f;47;1;100.0;2;1;1;211;Остывающие новички
PID_02fafb6fa984;15;2;400.0;3;1;1;311;Новые доноры (Малый чек)
PID_02fc82ba3e5b;66;1;200.0;1;1;1;111;Ушедшие новички
PID_0300e36600b3;51;11;2200.0;2;3;3;233;Засыпающие VIP
PID_0301a1ba3e53;52;4;2000.0;1;2;2;122;Потерянные VIP
PID_030515f8b834;1;27;13500.0;3;3;3;333;VIP / Супер-ядро
PID_0305e0d483c0;1;20;10000.0;3;3;3;333;VIP / Супер-ядро
PID_030635b33d86;0;28;28000.0;3;3;3;333;VIP / Супер-ядро
PID_03072217ecca;30;1;1000.0;2;1;2;212;Остывающие новички
PID_0308d1d42ce7;51;18;1800.0;2;3;2;232;Засыпающее ядро
PID_030f7aba53cd;61;11;1100.0;1;3;2;132;Потерянные VIP
PID_0312eb86cb28;15;5;1000.0;3;2;2;322;Потенциальное ядро
PID_031384b38eae;56;2;200.0;1;1;1;111;Ушедшие новички
PID_03162fa77c29;7;42;12600.0;3;3;3;333;VIP / Супер-ядро
PID_031d98d25963;9;9;900.0;3;2;2;322;Потенциальное ядро
PID_031daf5a84b0;51;2;1000.0;2;1;2;212;Остывающие новички
PID_031f598ec752;4;35;7000.0;3;3;3;333;VIP / Супер-ядро
PID_032417e47d1e;16;5;2500.0;3;2;3;323;Потенциальное ядро
PID_0325dfbce14a;48;5;1000.0;2;2;2;222;Требуют внимания
PID_032600b96de7;5;4;400.0;3;2;1;321;Потенциальное ядро
PID_032831cc0621;2;29;8700.0;3;3;3;333;VIP / Супер-ядро
PID_032954e98247;28;24;2400.0;2;3;3;233;Засыпающие VIP
PID_032c64d84aa4;58;1;1000.0;1;1;2;112;Ушедшие новички
PID_0332a9dfce05;48;7;3500.0;2;2;3;223;Требуют внимания
PID_0333439cd099;16;14;1400.0;3;3;2;332;Лояльное ядро
PID_033994fc7e4f;8;7;3500.0;3;2;3;323;Потенциальное ядро
PID_033ae33ba581;73;2;400.0;1;1;1;111;Ушедшие новички
PID_033b703514c7;50;10;1000.0;2;3;2;232;Засыпающее ядро
