payer_id;amount;share;cum_share;abc_class
PID_174c6954ea68;28500.0;0.0003853793676428735;0.20977196910532578;A
PID_0edcc07006bb;28400.0;0.0003840271593353546;0.21015599626466114;A
PID_3c32e4725db3;28110.0;0.00038010575524354993;0.2105361020199047;A
PID_585fdbd059e0;28100.0;0.00037997053441279807;0.2109160725543175;A
PID_e0e73bc7c573;28000.0;0.00037861832610527917;0.21129469088042277;A
PID_030635b33d86;28000.0;0.00037861832610527917;0.21167330920652805;A
PID_a257b3577ba2;28000.0;0.00037861832610527917;0.21205192753263333;A
PID_22ee93acf491;28000.0;0.00037861832610527917;0.2124305458587386;A
PID_ce5092ed65db;28000.0;0.00037861832610527917;0.21280916418484389;A
PID_d049016ab32e;28000.0;0.00037861832610527917;0.21318778251094916;A
PID_c6693febc9ab;28000.0;0.00037861832610527917;0.21356640083705444;A
PID_de38788e07d6;28000.0;0.00037861832610527917;0.21394501916315972;A
PID_8fc9adfc49bf;28000.0;0.00037861832610527917;0.214323637489265;A
PID_52e25790a487;28000.0;0.00037861832610527917;0.21470225581537028;A
PID_a731c0019a9e;28000.0;0.00037861832610527917;0.21508087414147556;A
PID_10fe07042485;28000.0;0.00037861832610527917;0.21545949246758084;A
PID_090f2435cda7;28000.0;0.00037861832610527917;0.21583811079368612;A
PID_4d9220184138;28000.0;0.00037861832610527917;0.2162167291197914;A
PID_c621c020a612;28000.0;0.00037861832610527917;0.21659534744589667;A
PID_34c50dbd69e4;28000.0;0.00037861832610527917;0.21697396577200195;A
PID_d4c84dfa4487;28000.0;0.00037861832610527917;0.21735258409810723;A
PID_6a5e843522d2;27500.0;0.0003718572845676849;0.2177244413826749;A
PID_223ec75d30e6;27500.0;0.0003718572845676849;0.2180962986672426;A
PID_a566be96bc82;27500.0;0.0003718572845676849;0.21846815595181027;A
PID_58d8840d646e;27500.0;0.0003718572845676849;0.21884001323637794;A
PID_c55f9b4e72d4;27500.0;0.0003718572845676849;0.21921187052094562;A
PID_86cfa8cf867e;27500.0;0.0003718572845676849;0.2195837278055133;A
PID_7a8bebc70154;27500.0;0.0003718572845676849;0.21995558509008098;A
PID_abeb28dd791f;27500.0;0.0003718572845676849;0.22032744237464866;A
PID_9f834acb2c17;27000.0;0.00036509624303009066;0.22069253861767874;A
PID_43cf9dbcebc9;27000.0;0.00036509624303009066;0.2210576348607088;A
PID_ed1c85adf869;27000.0;0.00036509624303009066;0.2214227311037389;A
PID_713210bd4c40;27000.0;0.00036509624303009066;0.22178782734676897;A
PID_c9d6420bd0e6;27000.0;0.00036509624303009066;0.22215292358979905;A
PID_ca6a93fd66bf;27000.0;0.00036509624303009066;0.22251801983282912;A
PID_c80911c87cb7;27000.0;0.00036509624303009066;0.2228831160758592;A
PID_957c1d2d814c;27000.0;0.00036509624303009066;0.22324821231888928;A
PID_537990f8c582;27000.0;0.00036509624303009066;0.22361330856191936;A
PID_53ab121dba5b;27000.0;0.00036509624303009066;0.22397840480494943;A
PID_7d3a1e2aaa1b;26700.0;0.0003610396181075341;0.22433944442305698;A
PID_84ed2af13c71;26600.0;0.00035968740980001524;0.224699131832857;A
PID_5f6ad9773439;26500.0;0.0003583352014924964;0.2250574670343495;A
PID_ea775e372fa0;26500.0;0.0003583352014924964;0.225415802235842;A
PID_129685489221;26500.0;0.0003583352014924964;0.22577413743733452;A
PID_28902d4ff6e3;26500.0;0.0003583352014924964;0.22613247263882702;A
PID_c4616999d727;26500.0;0.0003583352014924964;0.22649080784031952;A
PID_cae4ba2308cf;26400.0;0.00035698299318497756;0.2268477908335045;A
PID_9d33023eb219;26400.0;0.00035698299318497756;0.2272047738266895;A
PID_8d1f3446f1d3;26300.0;0.00035563078487745866;0.22756040461156696;A
PID_e2149d162a0e;26200.0;0.0003542785765699398;0.2279146831881369;A
PID_ff67e3b406f9;26000.0;0.00035157415995490214;0.2282662573480918;A
PID_5169cc2d997b;26000.0;0.00035157415995490214;0.2286178315080467;A
PID_00193b6aa729;26000.0;0.00035157415995490214;0.2289694056680016;A
PID_474813df734a;26000.0;0.00035157415995490214;0.22932097982795652;A
PID_c15726c54795;26000.0;0.00035157415995490214;0.22967255398791142;A
PID_e41ba023d6c4;26000.0;0.00035157415995490214;0.23002412814786632;A
